latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
34.07513,-118.288368,Yes,HS,CENTRAL CITY VALUE DISTRICT,Central City Value High School,CA,____hi,Y
37.453597,-121.901244,Yes,HS,MILPITAS UNIFIED,MILPITAS MIDDLE COLLEGE HIGH,CA,____hi,Y
33.944161,-118.278691,Yes,HS,ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH DISTRICT,Alliance Burton Technology High School,CA,____hi,Y
37.368573,-121.859654,Yes,HS,KIPP SAN JOSE COLLEGIATE DISTRICT,KIPP San Jose Collegiate,CA,____hi,Y
38.241071,-122.598852,Yes,HS,PETALUMA JOINT UNION HIGH,SONOMA MOUNTAIN HIGH (CONTINUATION),CA,____hi,Y
37.78591,-122.219635,Yes,HS,OAKLAND CHARTER HIGH DISTRICT,Oakland Charter High School Am,CA,____hi,Y
37.952195,-121.294837,Yes,HS,STOCKTON UNIFIED,WEBER INSTITUTE,CA,____hi,Y
37.2417,-121.827,Yes,HS,EAST SIDE UNION HIGH,CALERO HIGH,CA,____hi,Y
34.063793,-118.170763,Yes,HS,ALLIANCE MARC & EVA STERN MATH AND SCIENCE DISTRICT,ALLIANCE MARC & EVA STERN MATH AND SCIENCE,CA,____hi,Y
34.240426,-118.458188,Yes,HS,VALOR ACADEMY HIGH DISTRICT,Valor Academy High School,CA,____hi,Y
34.062424,-118.282196,Yes,HS,RISE KOHYANG HIGH DISTRICT,Rise Kohyang High School,CA,____hi,Y
36.76924,-119.787236,Yes,HS,FRESNO UNIFIED,Phillip J Patino School of Entrepreneurship,CA,____hi,Y
32.788822,-115.564936,Yes,HS,CENTRAL UNION HIGH,Central Union High School,CA,____hi,Y
34.0089,-117.7167,Yes,HS,CHINO VALLEY UNIFIED,Don Antonio Lugo High School,CA,____hi,Y
37.408086,-121.933647,Yes,HS,SANTA CLARA UNIFIED,KATHLEEN MACDONALD HIGH,CA,____hi,Y
32.708843,-117.154241,Yes,HS,E3 CIVIC HIGH DISTRICT,E3 Civic High School,CA,____hi,Y
36.940347,-120.065885,Yes,HS,MADERA UNIFIED,Madera South High School,CA,____hi,Y
33.958624,-118.428875,Yes,HS,WISH ACADEMY HIGH DISTRICT,Wish Academy High School,CA,____hi,Y
36.712333,-121.61604,Yes,HS,SALINAS UNION HIGH,Everett Alvarez High School,CA,____hi,Y
38.310654,-122.297509,Yes,HS,NAPA VALLEY UNIFIED,Napa High School,CA,____hi,Y
33.740259,-118.282571,Yes,HS,PORT OF LOS ANGELES HIGH DISTRICT,PORT OF LOS ANGELES HIGH,CA,____hi,Y
33.8692,-117.8034,Yes,HS,PLACENTIA-YORBA LINDA UNIFIED,Esperanza High School,CA,____hi,Y
34.076483,-118.285667,Yes,HS,CAMINO NUEVO HIGH #2 DISTRICT,Camino Nuevo High School Dalzell Lance,CA,____hi,Y
32.908707,-117.111717,Yes,HS,SAN DIEGO UNIFIED,Scripps Ranch High School,CA,____hi,Y
36.912824,-121.75284,Yes,HS,PAJARO VALLEY UNIFIED,WATSONVILLE HIGH,CA,____hi,Y
38.518504,-121.503673,Yes,HS,SACRAMENTO CITY UNIFIED,NEW TECHNOLOGY HIGH,CA,____hi,Y
